LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.1,E,Estimated value
AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.0,,
BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,2.0,,
CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.6,,
FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.5,,
DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.7,,
HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.8,,
ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.4,,
IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.1,,
JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,6.4,,
KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.2,,
LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.2,,
NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,E,Estimated value
NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.3,,
POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,3.2,,
PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.6,,
ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,12.7,,
GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,6.7,,
CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,9.4,,
EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,8.1,,
ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,3.7,E,Estimated value
RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,15.1,,
SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.5,,
OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,2.4,,
AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.1,E,Estimated value
AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.0,E,Estimated value
BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,2.0,E,Estimated value
CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.6,E,Estimated value
FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.5,E,Estimated value
DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.7,E,Estimated value
HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.8,E,Estimated value
ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.4,E,Estimated value
IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.1,E,Estimated value
JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,6.4,E,Estimated value
KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.2,E,Estimated value
LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.2,E,Estimated value
NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.3,E,Estimated value
POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,3.2,E,Estimated value
PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.6,E,Estimated value
ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,12.7,E,Estimated value
GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,6.7,E,Estimated value
CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,9.4,E,Estimated value
EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,8.1,E,Estimated value
ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,3.7,E,Estimated value
RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,15.1,E,Estimated value
SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.5,E,Estimated value
AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.1,E,Estimated value
AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.0,E,Estimated value
BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,2.0,E,Estimated value
CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.6,E,Estimated value
FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.5,E,Estimated value
DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.7,E,Estimated value
HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.8,E,Estimated value
ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.4,E,Estimated value
IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.1,E,Estimated value
JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,6.4,E,Estimated value
KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.2,E,Estimated value
LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.2,E,Estimated value
NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.3,E,Estimated value
POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,3.2,E,Estimated value
PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.6,E,Estimated value
ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,12.7,E,Estimated value
GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,6.7,E,Estimated value
CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,9.4,E,Estimated value
EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,8.1,E,Estimated value
ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,3.7,E,Estimated value
RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,15.1,E,Estimated value
SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.5,E,Estimated value
AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,26.0,,
